127.0.0.1 - - [03/Feb/2017:12:10:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:21 +0530] "GET /jhakaas/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:30 +0530] "GET /jhakaas/first HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:30 +0530] "GET /cart-ajax/re-validate.php HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:30 +0530] "GET /css/svg-icons.css?d=9f4c2b7 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:30 +0530] "POST /aff.php HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:52 +0530] "GET /ajax/discounts.php HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:52 +0530] "GET /js/tm/broadcast-translates.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:52 +0530] "GET /live-chat-ajax/forms.php?needCallBackForm=false HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:10:52 +0530] "GET /live-chat-ajax/greetings.php HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:11:29 +0530] "GET /css/svg-icons.css?d=9f4c2b7 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:18:56 +0530] "GET /jhakaas/first HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:18:56 +0530] "GET /css/svg-icons.css?d=9f4c2b7 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:18:56 +0530] "POST /aff.php HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:09 +0530] "GET /ajax/discounts.php HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:09 +0530] "GET /js/tm/broadcast-translates.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:09 +0530] "GET /live-chat-ajax/forms.php?needCallBackForm=false HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:09 +0530] "GET /live-chat-ajax/greetings.php HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:46 +0530] "GET /jhakaas/first HTTP/1.1" 200 10095
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:47 +0530] "GET /css/svg-icons.css?d=9f4c2b7 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:47 +0530] "POST /aff.php HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:58 +0530] "GET /ajax/discounts.php HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:58 +0530] "GET /js/tm/broadcast-translates.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:58 +0530] "GET /live-chat-ajax/forms.php?needCallBackForm=false HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:19:58 +0530] "GET /live-chat-ajax/greetings.php HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:13 +0530] "GET /jhakaas/first HTTP/1.1" 200 10095
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:14 +0530] "GET /css/svg-icons.css?d=9f4c2b7 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:14 +0530] "POST /aff.php HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:37 +0530] "GET /ajax/discounts.php HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:38 +0530] "GET /js/tm/broadcast-translates.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:38 +0530] "GET /live-chat-ajax/forms.php?needCallBackForm=false HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:20:38 +0530] "GET /live-chat-ajax/greetings.php HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [03/Feb/2017:12:22:32 +0530] "POST /aff.php HTTP/1.1" 404 1008
